,No. of abortions,Cycle length(days),Marraige Status (Yrs),Follicle No. (L),Follicle No. (R),Weight (Kg),BMI,RR (breaths/min),Hb(g/dl),FSH(mIU/mL),LH(mIU/mL),FSH/LH,TSH (mIU/L),AMH(ng/mL),PRL(ng/mL),Vit D3 (ng/mL),PRG(ng/mL),RBS(mg/dl),Waist:Hip Ratio,Endometrium (mm),Avg. F size (L) (mm),Avg. F size (R) (mm),II    beta-HCG(mIU/mL),BP _Systolic (mmHg),BP _Diastolic (mmHg),Waist(inch),Hip(inch)
No. of abortions,1.0,0.004607922804039166,0.24665126958743458,-0.058745811945469587,-0.07973572313913777,0.09363313245536016,0.11019330673110911,-0.008163164830200648,0.05793195322366797,-0.010330170372585596,-0.03333818365139011,-0.060309708112492026,0.05909510675287934,-0.0523044958302062,-0.062005540493056024,-0.017272954809095763,-0.023988734008156577,-0.013508041606735943,-0.00812499102577291,-0.06691069103550774,-0.05836179134450332,-0.11897710886257509,0.005557207217207023,-0.0842884255294587,0.072971398546406,0.07339275198967386,0.07947350187426373
Cycle length(days),0.004607922804039166,1.0,0.117908926370234,-0.08685049443358582,-0.16069769778368798,-0.0015519846249890112,-0.005412951032225541,0.006098548633542435,-0.05057695632981432,-0.044963816529004844,-0.12834025608411134,0.03379372720364788,-0.004820962283805552,-0.08815861697317794,0.015637753317155497,0.02568909807207699,0.007297364221723831,-0.0003009054118416009,-0.12969667159135975,-0.015176118632667672,-0.05289530495991676,-0.014534362941318824,0.06386202814607843,-0.011098098455743083,-0.0766861898523649,-0.02390279607268721,0.040302720809367545
Marraige Status (Yrs),0.24665126958743458,0.117908926370234,1.0,-0.08371453749947455,-0.09096886723259304,0.047068816353420875,0.08654147445090364,0.0764903362907976,0.009000382416741002,0.02890215580313178,-0.12294391657073858,0.010762504971388068,0.006543324198912065,-0.1474241623930141,-0.026939752834783316,0.046568066947050325,-0.05270491670821524,0.07569734852053428,0.028412620108246325,-0.1064764334114681,-0.08052984463788618,-0.10502079089977236,0.06189097531218024,0.030730840902263485,0.005841357027216354,0.058117599059139234,0.041355596941003214
Follicle No. (L),-0.058745811945469587,-0.08685049443358582,-0.08371453749947455,1.0,0.7993590212814681,0.17677977624627106,0.14628311162330457,0.06818011521936912,0.06097698481635575,-0.04680778301413282,0.0035220583642603053,-0.03130489521857184,0.008601258465609694,0.22073025644143773,-0.008389394273382516,0.07089713298602779,0.01873468289964673,0.04321852741942941,0.018977851363153178,0.08147912604656851,0.24563794085943788,0.14506789743712806,0.016655119530981855,0.04041382307212406,0.027530288098148243,0.13033751978380895,0.12267315952325702
Follicle No. (R),-0.07973572313913777,-0.16069769778368798,-0.09096886723259304,0.7993590212814681,1.0,0.12631728938505588,0.10613077824990007,0.010329846541988041,0.07212473915722342,0.015842891107206637,1.1984006410665509e-05,0.0026828854776187925,0.01779608157253473,0.19730675947317147,-0.006472255630950724,0.08674967186114355,0.031638859650527706,0.027115247183965237,-0.007438846870274292,0.08090252797370041,0.15286501687325285,0.18538776525528974,-0.01257531039869229,0.025865820214655486,0.04032835140321594,0.09422139829016708,0.09753752839959602
Weight (Kg),0.09363313245536016,-0.0015519846249890112,0.047068816353420875,0.17677977624627106,0.12631728938505588,1.0,0.9015433566869746,0.04352702992772923,0.006179903138123816,0.007495568203293892,-0.0008971909577593874,-0.016696862321828557,0.047455143160609205,0.03565445322016126,-0.048187101414581233,-0.06328626900845165,0.0695080906324375,0.11568503081111771,0.018879466290032208,-0.012571603142211066,-0.01515296052251316,-0.06781239388192017,-0.047828770963945506,0.024671508420620224,0.1319486385022226,0.6407097388363094,0.6332213205995944
BMI,0.11019330673110911,-0.005412951032225541,0.08654147445090364,0.14628311162330457,0.10613077824990007,0.9015433566869746,1.0,0.0617381862379444,0.0011567287383630746,0.03867650448989324,-0.01587481771371399,-0.00011126875194369872,0.047457358185592165,0.062176544938219336,-0.04708191831689103,-0.04600999109186789,0.049781385789725206,0.09554164606509356,0.031051087810883178,0.0058715149382297495,-0.0054938911436296445,-0.10624657920491605,-0.05539747324392709,0.06688248294420908,0.14055927236454874,0.6095850286800009,0.5964235264884188
RR (breaths/min),-0.008163164830200648,0.006098548633542435,0.0764903362907976,0.06818011521936912,0.010329846541988041,0.04352702992772923,0.0617381862379444,1.0,-0.04534062865748844,-0.03408933164588567,0.017478722099002957,-0.07001160900528539,0.017957463756351457,-0.02608020715100697,0.008694698402061782,0.04666638876928236,-0.07721127323408743,0.050284915974799047,-0.07579412429714431,-0.06440936909050089,-0.0330511450606219,-0.023219916669033506,0.011550816825502505,0.01662865764064924,0.055029819486621466,0.037977297182223466,0.07524186056644895
Hb(g/dl),0.05793195322366797,-0.05057695632981432,0.009000382416741002,0.06097698481635575,0.07212473915722342,0.006179903138123816,0.0011567287383630746,-0.04534062865748844,1.0,0.01128609773032034,-0.0649138489278246,-0.031177995305988183,-0.025867819751746676,0.041931600197963076,-0.05995330378029571,0.06928277991465634,0.06547951854563386,0.023530767710207175,0.05754203759710535,-0.06810098053373326,0.03588845253453586,0.02772457174407018,-0.021253392174099467,0.04990414112642913,0.004039435137875585,-0.0023118212237011686,-0.027263071367056302
FSH(mIU/mL),-0.010330170372585596,-0.044963816529004844,0.02890215580313178,-0.04680778301413282,0.015842891107206637,0.007495568203293892,0.03867650448989324,-0.03408933164588567,0.01128609773032034,1.0,0.23739817150039305,0.17347067673756877,-0.021693578764446005,0.0498059675035227,-0.0018374641996156157,0.012882396198741144,0.004649334398525633,-0.007051171924287753,0.0032205524740052663,0.014154892837005347,-0.01673964088474517,0.004688272887448951,-0.06108746952492045,0.013896931101249827,-0.01732336014838516,-0.004999440792901806,-0.008416816266422858
LH(mIU/mL),-0.03333818365139011,-0.12834025608411134,-0.12294391657073858,0.0035220583642603053,1.1984006410665509e-05,-0.0008971909577593874,-0.01587481771371399,0.017478722099002957,-0.0649138489278246,0.23739817150039305,1.0,-0.4698878843010272,0.02773004200198434,0.2418537265579064,0.020761145207222536,-0.0170652043302746,0.0005105849527508914,0.023638336629470607,-0.00917430395338899,0.0207192497176903,-0.01793754164373003,-0.02328966125987624,-0.016065635990616067,-0.021799154995166735,0.01339273207395539,-0.008999881138853033,0.0005784138560425404
FSH/LH,-0.060309708112492026,0.03379372720364788,0.010762504971388068,-0.03130489521857184,0.0026828854776187925,-0.016696862321828557,-0.00011126875194369872,-0.07001160900528539,-0.031177995305988183,0.17347067673756877,-0.4698878843010272,1.0,-0.050559704630736196,-0.07605933913402392,-0.00012660803011934005,0.12412380629264472,-0.009366806601826086,-0.08015351484249471,0.0035999756549041475,-0.031158744219326334,0.04873256798996567,0.01651555210677003,0.06985001954633674,-0.006522074214023835,-0.00950897437143481,-0.013919664740345445,-0.02067080949280383
TSH (mIU/L),0.05909510675287934,-0.004820962283805552,0.006543324198912065,0.008601258465609694,0.01779608157253473,0.047455143160609205,0.047457358185592165,0.017957463756351457,-0.025867819751746676,-0.021693578764446005,0.02773004200198434,-0.050559704630736196,1.0,0.024787074630768173,0.005383618803712932,-0.056343097518446746,-0.03285953477409742,-0.018694063376311187,-0.027619160803571963,-0.024925174343719974,-0.01836416859538869,-0.031267802759230835,-0.06427160424891572,0.04173305530944697,0.04306614008682982,-0.015564411427808757,-0.000806291957745637
AMH(ng/mL),-0.0523044958302062,-0.08815861697317794,-0.1474241623930141,0.22073025644143773,0.19730675947317147,0.03565445322016126,0.062176544938219336,-0.02608020715100697,0.041931600197963076,0.0498059675035227,0.2418537265579064,-0.07605933913402392,0.024787074630768173,1.0,-0.06883189561754724,-0.05814753999850493,-0.011275377736824108,0.030681798798842676,0.04435755095443836,0.11032602839606924,0.13112409563887392,0.09093147543782479,0.0560748725882122,-0.013834736579965963,0.023061727435818954,-0.04623984293542853,-0.06344831794630722
PRL(ng/mL),-0.062005540493056024,0.015637753317155497,-0.026939752834783316,-0.008389394273382516,-0.006472255630950724,-0.048187101414581233,-0.04708191831689103,0.008694698402061782,-0.05995330378029571,-0.0018374641996156157,0.020761145207222536,-0.00012660803011934005,0.005383618803712932,-0.06883189561754724,1.0,-0.04341202212658106,-0.009271034733970967,-0.04088731675993297,0.09145078283417948,0.030930852569870743,0.08519892150125818,0.07126720700215,-0.047041657543861415,-0.010753996616425785,-0.02534718068501579,-0.03496991203058034,-0.0798690636819596
Vit D3 (ng/mL),-0.017272954809095763,0.02568909807207699,0.046568066947050325,0.07089713298602779,0.08674967186114355,-0.06328626900845165,-0.04600999109186789,0.04666638876928236,0.06928277991465634,0.012882396198741144,-0.0170652043302746,0.12412380629264472,-0.056343097518446746,-0.05814753999850493,-0.04341202212658106,1.0,-0.05406558963132836,-0.024321493459702623,-0.11946310420073689,0.013265056604813783,-0.09103551309395662,-0.1550052817177687,0.0386832316583942,-0.019639505912332447,-0.03204589397812178,-0.011212186028425674,0.048870989448841363
PRG(ng/mL),-0.023988734008156577,0.007297364221723831,-0.05270491670821524,0.01873468289964673,0.031638859650527706,0.0695080906324375,0.049781385789725206,-0.07721127323408743,0.06547951854563386,0.004649334398525633,0.0005105849527508914,-0.009366806601826086,-0.03285953477409742,-0.011275377736824108,-0.009271034733970967,-0.05406558963132836,1.0,-0.003477707751599462,-0.03693049674541717,-0.04801328208429339,-0.0405141124444553,-0.04065110863903949,0.03472255794766809,-0.021064152629815935,0.032409567379896205,0.029171928203604966,0.049935719790047926
RBS(mg/dl),-0.013508041606735943,-0.0003009054118416009,0.07569734852053428,0.04321852741942941,0.027115247183965237,0.11568503081111771,0.09554164606509356,0.050284915974799047,0.023530767710207175,-0.007051171924287753,0.023638336629470607,-0.08015351484249471,-0.018694063376311187,0.030681798798842676,-0.04088731675993297,-0.024321493459702623,-0.003477707751599462,1.0,0.02403800907831492,-0.016943087264996277,-0.04912126981938983,0.011287232589285772,-0.014925164290623759,0.05355738445609573,-0.03245538046506879,0.012433320881603026,-0.0007579864157198714
Waist:Hip Ratio,-0.00812499102577291,-0.12969667159135975,0.028412620108246325,0.018977851363153178,-0.007438846870274292,0.018879466290032208,0.031051087810883178,-0.07579412429714431,0.05754203759710535,0.0032205524740052663,-0.00917430395338899,0.0035999756549041475,-0.027619160803571963,0.04435755095443836,0.09145078283417948,-0.11946310420073689,-0.03693049674541717,0.02403800907831492,1.0,-0.025087511963472055,0.22516687749726522,0.17340549140133668,-0.05470258330191959,0.09215328408293912,0.041742962684176196,0.26058534358225904,-0.2376639501117511
Endometrium (mm),-0.06691069103550774,-0.015176118632667672,-0.1064764334114681,0.08147912604656851,0.08090252797370041,-0.012571603142211066,0.0058715149382297495,-0.06440936909050089,-0.06810098053373326,0.014154892837005347,0.0207192497176903,-0.031158744219326334,-0.024925174343719974,0.11032602839606924,0.030930852569870743,0.013265056604813783,-0.04801328208429339,-0.016943087264996277,-0.025087511963472055,1.0,-0.01229124434139563,-0.04286609567196973,0.018600554808920942,-0.022416936674401283,-0.012060761843177913,0.014247732158960255,0.02857180931999082
Avg. F size (L) (mm),-0.05836179134450332,-0.05289530495991676,-0.08052984463788618,0.24563794085943788,0.15286501687325285,-0.01515296052251316,-0.0054938911436296445,-0.0330511450606219,0.03588845253453586,-0.01673964088474517,-0.01793754164373003,0.04873256798996567,-0.01836416859538869,0.13112409563887392,0.08519892150125818,-0.09103551309395662,-0.0405141124444553,-0.04912126981938983,0.22516687749726522,-0.01229124434139563,1.0,0.5177058668619338,-0.04597830489066359,0.05688429918397006,0.03724951636718038,0.03182194183105228,-0.0783038857289298
Avg. F size (R) (mm),-0.11897710886257509,-0.014534362941318824,-0.10502079089977236,0.14506789743712806,0.18538776525528974,-0.06781239388192017,-0.10624657920491605,-0.023219916669033506,0.02772457174407018,0.004688272887448951,-0.02328966125987624,0.01651555210677003,-0.031267802759230835,0.09093147543782479,0.07126720700215,-0.1550052817177687,-0.04065110863903949,0.011287232589285772,0.17340549140133668,-0.04286609567196973,0.5177058668619338,1.0,-0.011167748427315832,0.04315611961151751,0.024619131633789045,-0.014797186442278542,-0.10052910327612585
II    beta-HCG(mIU/mL),0.005557207217207023,0.06386202814607843,0.06189097531218024,0.016655119530981855,-0.01257531039869229,-0.047828770963945506,-0.05539747324392709,0.011550816825502505,-0.021253392174099467,-0.06108746952492045,-0.016065635990616067,0.06985001954633674,-0.06427160424891572,0.0560748725882122,-0.047041657543861415,0.0386832316583942,0.03472255794766809,-0.014925164290623759,-0.05470258330191959,0.018600554808920942,-0.04597830489066359,-0.011167748427315832,1.0,-0.07328586850616776,-0.007434396218281639,0.0024951533624508336,0.030694203824844876
BP _Systolic (mmHg),-0.0842884255294587,-0.011098098455743083,0.030730840902263485,0.04041382307212406,0.025865820214655486,0.024671508420620224,0.06688248294420908,0.01662865764064924,0.04990414112642913,0.013896931101249827,-0.021799154995166735,-0.006522074214023835,0.04173305530944697,-0.013834736579965963,-0.010753996616425785,-0.019639505912332447,-0.021064152629815935,0.05355738445609573,0.09215328408293912,-0.022416936674401283,0.05688429918397006,0.04315611961151751,-0.07328586850616776,1.0,0.10098982140059864,0.03399799024069155,-0.015076921255339848
BP _Diastolic (mmHg),0.072971398546406,-0.0766861898523649,0.005841357027216354,0.027530288098148243,0.04032835140321594,0.1319486385022226,0.14055927236454874,0.055029819486621466,0.004039435137875585,-0.01732336014838516,0.01339273207395539,-0.00950897437143481,0.04306614008682982,0.023061727435818954,-0.02534718068501579,-0.03204589397812178,0.032409567379896205,-0.03245538046506879,0.041742962684176196,-0.012060761843177913,0.03724951636718038,0.024619131633789045,-0.007434396218281639,0.10098982140059864,1.0,0.12589562933882928,0.10616927840943177
Waist(inch),0.07339275198967386,-0.02390279607268721,0.058117599059139234,0.13033751978380895,0.09422139829016708,0.6407097388363094,0.6095850286800009,0.037977297182223466,-0.0023118212237011686,-0.004999440792901806,-0.008999881138853033,-0.013919664740345445,-0.015564411427808757,-0.04623984293542853,-0.03496991203058034,-0.011212186028425674,0.029171928203604966,0.012433320881603026,0.26058534358225904,0.014247732158960255,0.03182194183105228,-0.014797186442278542,0.0024951533624508336,0.03399799024069155,0.12589562933882928,1.0,0.8741798639495479
Hip(inch),0.07947350187426373,0.040302720809367545,0.041355596941003214,0.12267315952325702,0.09753752839959602,0.6332213205995944,0.5964235264884188,0.07524186056644895,-0.027263071367056302,-0.008416816266422858,0.0005784138560425404,-0.02067080949280383,-0.000806291957745637,-0.06344831794630722,-0.0798690636819596,0.048870989448841363,0.049935719790047926,-0.0007579864157198714,-0.2376639501117511,0.02857180931999082,-0.0783038857289298,-0.10052910327612585,0.030694203824844876,-0.015076921255339848,0.10616927840943177,0.8741798639495479,1.0
