,Glucosa (mg/dl),Ratio Cintura-Cadera,Cadera (pulg),Cintura (pulg),Altura (cm),IMC,Peso (Kg),Frecuencia Respiratoria (rpm),Ratio FSH/LH,Hemoglobina (g/dl),FSH (mUI/mL),LH (mUI/mL),Vitamina D3 (ng/mL),Tamaño Folículo Prom (I) (mm),Edad (años),Grupo Sanguíneo,Frecuencia Cardiaca (lpm),Progesterona (ng/mL),Presión Sistólica (mmHg),Prolactina (ng/mL),Tamaño Folículo Prom (D) (mm),Años Casada,Endometrio (mm),Presión Diastólica (mmHg),beta-HCG II (mUI/mL),Duración Ciclo (días),TSH (mUI/L),Ciclo (R/I),Num Folículos (I),Num Folículos (D)
Glucosa (mg/dl),1.0,0.018962571618326433,0.006763695901692801,0.01884548008441795,0.034512809779896375,0.08628560877961164,0.09833437156033956,0.07938379996719336,-0.08377067270596884,-0.02307205044172159,0.011750158591665746,0.07154023591500304,-0.06536927071179338,-0.057631151543871426,0.10549405636369576,0.021087016629057917,0.06494950876408868,0.10219939844608211,0.08720726105894816,-0.05869558370483959,0.009699418862124465,0.09479274613670409,-0.051732998975692376,-0.040395192624350186,-0.07139729522553949,0.006459892699794859,-0.02818730555653476,0.008364784602765216,0.03351093134610787,-0.002023044457827081
Ratio Cintura-Cadera,0.018962571618326433,1.0,-0.2376639501117511,0.26058534358225904,-0.014915470166718877,0.031051087810883147,0.01887946629003214,-0.07107883149021561,-0.009502457067269023,0.05754203759710533,-0.04008220979301515,-0.0023060460362142403,-0.1098147215055462,0.16976143014466955,0.06353224125335548,0.01271818343840479,-0.0692247493996445,-0.15929663012532105,0.08738221463356824,0.07576603424928562,0.17340549140133668,-0.002231833226283254,-0.025087511963472055,0.042246280898918645,-0.09262145533144506,-0.1296966715913598,-0.017234725956382407,-0.0028504583862297137,0.018977851363153192,-0.007438846870274306
Cadera (pulg),0.006763695901692801,-0.2376639501117511,1.0,0.8741798639495479,0.21560935750510124,0.5964235264884188,0.6332213205995945,0.07067746743198489,-0.010210894209541299,-0.027263071367056402,0.021431113456709443,0.005312159524607142,0.026936748476078725,-0.04919332695053017,-0.0008069835971443187,0.000977411278152666,0.05909867543085637,0.09462771351667101,-0.0052508720728670156,-0.06436174532738584,-0.10052910327612598,0.03858348532392546,0.02857180931999082,0.11548012581762096,0.010862947895070932,0.040302720809367566,0.0005514476758043267,0.17600565744302504,0.12267315952325697,0.09753752839959594
Cintura (pulg),0.01884548008441795,0.26058534358225904,0.8741798639495479,1.0,0.20848407192041815,0.6095850286800008,0.6407097388363094,0.03583453054470212,-0.010106650189221055,-0.0023118212237011773,0.0038294805394342643,0.00033430520067688957,-0.028777823983677574,0.03266099017617588,0.03628212373249229,0.004087174130525638,0.02598787166007841,0.013144118342641701,0.04205253135283003,-0.028027298619933937,-0.01479718644227852,0.04027326820733817,0.01424773215896027,0.13558768865315185,-0.030976989872086278,-0.023902796072687235,-0.00991177575872939,0.16912810324855684,0.13033751978380897,0.0942213982901672
Altura (cm),0.034512809779896375,-0.014915470166718877,0.21560935750510124,0.20848407192041815,1.0,-0.006317941292923238,0.42086515763981736,-0.03737247121296636,-0.05529707634535833,0.022043870629564234,-0.04795551225005633,0.02247924822591001,-0.03318269378940729,-0.008204335813295337,-0.11915481099402175,0.03946540823165812,-0.07436570108142697,-0.02346693339180468,-0.03535469991793024,0.0009970636940416207,0.06102916567633251,-0.07308953463940551,-0.05225324301474237,0.020899730861269894,0.027029371911836766,0.008643100862124761,0.039397174788601094,-0.017662160589065078,0.10667712320156329,0.07673403786243048
IMC,0.08628560877961164,0.031051087810883147,0.5964235264884188,0.6095850286800008,-0.006317941292923238,1.0,0.9015433566869748,0.058734866455441466,-0.012694306540467971,0.0011567287383630746,0.014538271746414998,-0.0046451038501085,-0.07375598182069712,0.020648109968370243,0.022949102413505812,0.06598009196153004,0.03366260989656493,0.07114917033496997,0.07764874274764748,-0.06407684196280918,-0.10624657920491605,0.08224433798178281,0.0058715149382297495,0.14017335073376622,-0.010477941413944824,-0.005412951032225562,0.04126633528229809,0.23342583014136004,0.1462831116233046,0.10613077824990008
Peso (Kg),0.09833437156033956,0.01887946629003214,0.6332213205995945,0.6407097388363094,0.42086515763981736,0.9015433566869748,1.0,0.03752307732424882,-0.034283091755614496,0.006179903138123816,-0.007120126131925507,0.005619156934353027,-0.08335445463876635,0.013704848072359662,-0.02810371015785242,0.07636317520929459,0.006371182596271719,0.053883475380555365,0.047401680891892964,-0.05698375049679527,-0.06781239388192017,0.03897704015729935,-0.012571603142211066,0.135642661000519,0.0018680261802225583,-0.0015519846249890273,0.05049247594028385,0.20116496679441404,0.17677977624627106,0.12631728938505585
Frecuencia Respiratoria (rpm),0.07938379996719336,-0.07107883149021561,0.07067746743198489,0.03583453054470212,-0.03737247121296636,0.058734866455441466,0.03752307732424882,1.0,-0.035842712258774265,-0.04678923352298504,0.0075839770078428015,0.033945076771727874,0.05282902831018735,-0.00911978870538236,0.08596788014384038,-0.028017040329207217,0.45784186814791217,-0.023749397981094093,0.043021330363436326,0.0022042972050995025,-0.020327152590569147,0.08197445379847701,-0.06326212024449847,0.07336591379450233,-0.001195303383393701,0.004992784764381709,0.024042471268993434,0.016969344097775885,0.06606499664366736,0.008608059077802961
Ratio FSH/LH,-0.08377067270596884,-0.009502457067269023,-0.010210894209541299,-0.010106650189221055,-0.05529707634535833,-0.012694306540467971,-0.034283091755614496,-0.035842712258774265,1.0,0.018566024697254838,-0.05246181397165049,-0.8505581435069658,0.07290258685295747,-0.015898908291692725,0.1863734190603788,-0.004275311043477338,-0.03463559800979731,-0.07118687733197879,0.031614951074437576,-0.010151107762416373,0.03825675804045402,0.10631749706831742,-0.02941684550561656,-0.014490054781154917,-0.09696555676662635,0.1012965500832221,-0.07147798417031982,-0.18269749904126445,-0.06787188152451902,-0.04360719196847853
Hemoglobina (g/dl),-0.02307205044172159,0.05754203759710533,-0.027263071367056402,-0.0023118212237011773,0.022043870629564234,0.0011567287383630746,0.006179903138123816,-0.04678923352298504,0.018566024697254838,1.0,-0.031879996614679766,-0.042367163766718424,0.06958867992870026,0.031366171833982694,-0.022581385317771274,-0.0026189360217526414,-0.07437686009976509,-0.027322805995012737,0.09380085489144414,-0.06119636235162999,0.02772457174407018,0.020783952939681362,-0.06810098053373326,0.005980498647356362,-0.07708432310275712,-0.050576956329814265,0.004836652626390867,0.03304291452254093,0.06097698481635574,0.07212473915722348
FSH (mUI/mL),0.011750158591665746,-0.04008220979301515,0.021431113456709443,0.0038294805394342643,-0.04795551225005633,0.014538271746414998,-0.007120126131925507,0.0075839770078428015,-0.05246181397165049,-0.031879996614679766,1.0,0.5256788764662116,0.02755989209953818,-0.052977257789829764,0.03250491366543747,-0.08525142103992704,-0.07206732061641731,0.01042248484139843,-0.0054168251354187935,-0.013845032313999832,-0.02007102464312145,-0.05310076102103929,0.062096691982630174,-0.03274486838350914,-0.08215663562659592,-0.06256232155292583,-0.01151403307694743,-0.03226915184323203,-0.10216047123171025,-0.061905246846197734
LH (mUI/mL),0.07154023591500304,-0.0023060460362142403,0.005312159524607142,0.00033430520067688957,0.02247924822591001,-0.0046451038501085,0.005619156934353027,0.033945076771727874,-0.8505581435069658,-0.042367163766718424,0.5256788764662116,1.0,-0.034710177852789896,-0.009032065498903476,-0.1490812508462531,-0.04376265803680385,-0.005854906624709445,0.06781303861796192,-0.025459955776434496,0.008512357243680041,-0.038926569231924696,-0.1278174187281113,0.046526453756820074,0.0001391902833515687,0.027586405820362772,-0.11589074025438927,0.047926038985343145,0.14769586196550458,-0.000622422720713579,-0.011662368438642814
Vitamina D3 (ng/mL),-0.06536927071179338,-0.1098147215055462,0.026936748476078725,-0.028777823983677574,-0.03318269378940729,-0.07375598182069712,-0.08335445463876635,0.05282902831018735,0.07290258685295747,0.06958867992870026,0.02755989209953818,-0.034710177852789896,1.0,-0.009467960004109805,-0.006790706368984691,0.03847665195381643,0.03803616026177843,0.016990242745130578,-0.042504754110627464,-0.017595779999520816,-0.12157309896139946,0.041902182445423396,0.02811348515853997,-0.04757827223518819,0.04845955551084311,0.040860222835501094,-0.024378623722390767,-0.01531873193550532,0.05606221276373291,0.0713686089769351
Tamaño Folículo Prom (I) (mm),-0.057631151543871426,0.16976143014466955,-0.04919332695053017,0.03266099017617588,-0.008204335813295337,0.020648109968370243,0.013704848072359662,-0.00911978870538236,-0.015898908291692725,0.031366171833982694,-0.052977257789829764,-0.009032065498903476,-0.009467960004109805,1.0,-0.04649494710913968,-0.03708359842586049,-0.044755898568667206,0.014780994923966935,0.054410748196773016,0.14664724094742115,0.3431142261212832,-0.05218309446927404,0.010934689399127201,0.03740779609257294,-0.01853692666522683,-0.05564164342396028,-0.023865221437357163,0.047565539256986096,0.24267659142228692,0.15294649166462257
Edad (años),0.10549405636369576,0.06353224125335548,-0.0008069835971443187,0.03628212373249229,-0.11915481099402175,0.022949102413505812,-0.02810371015785242,0.08596788014384038,0.1863734190603788,-0.022581385317771274,0.03250491366543747,-0.1490812508462531,-0.006790706368984691,-0.04649494710913968,1.0,-0.013213659700704518,0.05805218106770551,-0.031148806097577177,0.12239774213629749,-0.08448706470622554,-0.08340490666959202,0.6112949909851032,-0.1042271089360734,0.0797703491251793,-0.03197563244576429,0.05666945371776299,0.05847780344736582,-0.08769474100278123,-0.11335544498646721,-0.16226037278591288
Grupo Sanguíneo,0.021087016629057917,0.01271818343840479,0.000977411278152666,0.004087174130525638,0.03946540823165812,0.06598009196153004,0.07636317520929459,-0.028017040329207217,-0.004275311043477338,-0.0026189360217526414,-0.08525142103992704,-0.04376265803680385,0.03847665195381643,-0.03708359842586049,-0.013213659700704518,1.0,0.05117842655482631,0.05006709950403464,0.028557891306120572,0.02589713334151068,-0.021739896393799505,-0.020080522021760003,-0.011830693082075204,0.0762861865760144,-0.039692471910426456,-0.007020575669065909,0.07897700935452745,0.1226781192246344,0.05815698202408362,0.011848539609967292
Frecuencia Cardiaca (lpm),0.06494950876408868,-0.0692247493996445,0.05909867543085637,0.02598787166007841,-0.07436570108142697,0.03366260989656493,0.006371182596271719,0.45784186814791217,-0.03463559800979731,-0.07437686009976509,-0.07206732061641731,-0.005854906624709445,0.03803616026177843,-0.044755898568667206,0.05805218106770551,0.05117842655482631,1.0,-0.02640124323671788,-0.040743675366317934,-0.011946472226771948,-0.036822265087895746,0.05824596541300136,-0.059874912065528293,-0.06244778443891855,0.057942686162399254,-0.005327688557357948,-0.03750841163450556,0.11432376051350081,0.051481894484090684,0.035047393412922664
Progesterona (ng/mL),0.10219939844608211,-0.15929663012532105,0.09462771351667101,0.013144118342641701,-0.02346693339180468,0.07114917033496997,0.053883475380555365,-0.023749397981094093,-0.07118687733197879,-0.027322805995012737,0.01042248484139843,0.06781303861796192,0.016990242745130578,0.014780994923966935,-0.031148806097577177,0.05006709950403464,-0.02640124323671788,1.0,-0.05631625649105288,-0.0012413807061055077,-0.03914426890042595,0.008324616096075061,-0.04946892116815841,-0.007643986878335185,0.040112053021417855,0.05888751154211529,-0.023096517194630486,-0.036082321871323396,-0.06103752871926893,-0.05936805064576521
Presión Sistólica (mmHg),0.08720726105894816,0.08738221463356824,-0.0052508720728670156,0.04205253135283003,-0.03535469991793024,0.07764874274764748,0.047401680891892964,0.043021330363436326,0.031614951074437576,0.09380085489144414,-0.0054168251354187935,-0.025459955776434496,-0.042504754110627464,0.054410748196773016,0.12239774213629749,0.028557891306120572,-0.040743675366317934,-0.05631625649105288,1.0,-0.011447137755071411,0.026408885322209773,0.09728562459560267,-0.0596819566661934,0.19738812652466622,-0.005933461342003022,-0.012486504077733428,0.022785725956900236,0.05129663867928306,0.023472549989816745,0.006436518116713639
Prolactina (ng/mL),-0.05869558370483959,0.07576603424928562,-0.06436174532738584,-0.028027298619933937,0.0009970636940416207,-0.06407684196280918,-0.05698375049679527,0.0022042972050995025,-0.010151107762416373,-0.06119636235162999,-0.013845032313999832,0.008512357243680041,-0.017595779999520816,0.14664724094742115,-0.08448706470622554,0.02589713334151068,-0.011946472226771948,-0.0012413807061055077,-0.011447137755071411,1.0,0.10543612380343395,-0.06087087346496085,0.04450092511007572,-0.012161043137101512,-0.048572266499233685,0.012274808453589426,0.050442068626167624,0.015345764298887985,0.02375823223141971,0.01940350900962982
Tamaño Folículo Prom (D) (mm),0.009699418862124465,0.17340549140133668,-0.10052910327612598,-0.01479718644227852,0.06102916567633251,-0.10624657920491605,-0.06781239388192017,-0.020327152590569147,0.03825675804045402,0.02772457174407018,-0.02007102464312145,-0.038926569231924696,-0.12157309896139946,0.3431142261212832,-0.08340490666959202,-0.021739896393799505,-0.036822265087895746,-0.03914426890042595,0.026408885322209773,0.10543612380343395,1.0,-0.10873528924518233,-0.042866095671969785,0.015255070552217606,-0.12321355544891154,-0.01453436294131884,-0.06916414432415259,0.015101347182327472,0.14506789743712803,0.1853877652552898
Años Casada,0.09479274613670409,-0.002231833226283254,0.03858348532392546,0.04027326820733817,-0.07308953463940551,0.08224433798178281,0.03897704015729935,0.08197445379847701,0.10631749706831742,0.020783952939681362,-0.05310076102103929,-0.1278174187281113,0.041902182445423396,-0.05218309446927404,0.6112949909851032,-0.020080522021760003,0.05824596541300136,0.008324616096075061,0.09728562459560267,-0.06087087346496085,-0.10873528924518233,1.0,-0.1264950694365243,0.01579973482194553,0.026874210111113666,0.1254010754525344,0.02303325763041546,-0.04689691373949092,-0.09112469289838458,-0.0841021377448594
Endometrio (mm),-0.051732998975692376,-0.025087511963472055,0.02857180931999082,0.01424773215896027,-0.05225324301474237,0.0058715149382297495,-0.012571603142211066,-0.06326212024449847,-0.02941684550561656,-0.06810098053373326,0.062096691982630174,0.046526453756820074,0.02811348515853997,0.010934689399127201,-0.1042271089360734,-0.011830693082075204,-0.059874912065528293,-0.04946892116815841,-0.0596819566661934,0.04450092511007572,-0.042866095671969785,-0.1264950694365243,1.0,-0.035933235157291195,0.07322626584371149,-0.015176118632667625,-0.05842214800680936,0.04350744837529925,0.08147912604656848,0.08090252797370041
Presión Diastólica (mmHg),-0.040395192624350186,0.042246280898918645,0.11548012581762096,0.13558768865315185,0.020899730861269894,0.14017335073376622,0.135642661000519,0.07336591379450233,-0.014490054781154917,0.005980498647356362,-0.03274486838350914,0.0001391902833515687,-0.04757827223518819,0.03740779609257294,0.0797703491251793,0.0762861865760144,-0.06244778443891855,-0.007643986878335185,0.19738812652466622,-0.012161043137101512,0.015255070552217606,0.01579973482194553,-0.035933235157291195,1.0,0.07714857647768031,-0.07118616744461737,0.010854700356826757,0.0764604698952028,0.005558412368260858,0.013749222060006316
beta-HCG II (mUI/mL),-0.07139729522553949,-0.09262145533144506,0.010862947895070932,-0.030976989872086278,0.027029371911836766,-0.010477941413944824,0.0018680261802225583,-0.001195303383393701,-0.09696555676662635,-0.07708432310275712,-0.08215663562659592,0.027586405820362772,0.04845955551084311,-0.01853692666522683,-0.03197563244576429,-0.039692471910426456,0.057942686162399254,0.040112053021417855,-0.005933461342003022,-0.048572266499233685,-0.12321355544891154,0.026874210111113666,0.07322626584371149,0.07714857647768031,1.0,0.04072929592821,-0.06844920951409379,-0.00929683470100884,-0.018380438683471566,-0.01674112924096073
Duración Ciclo (días),0.006459892699794859,-0.1296966715913598,0.040302720809367566,-0.023902796072687235,0.008643100862124761,-0.005412951032225562,-0.0015519846249890273,0.004992784764381709,0.1012965500832221,-0.050576956329814265,-0.06256232155292583,-0.11589074025438927,0.040860222835501094,-0.05564164342396028,0.05666945371776299,-0.007020575669065909,-0.005327688557357948,0.05888751154211529,-0.012486504077733428,0.012274808453589426,-0.01453436294131884,0.1254010754525344,-0.015176118632667625,-0.07118616744461737,0.04072929592821,1.0,0.041280464111864444,-0.20041463128204962,-0.08685049443358582,-0.16069769778368798
TSH (mUI/L),-0.02818730555653476,-0.017234725956382407,0.0005514476758043267,-0.00991177575872939,0.039397174788601094,0.04126633528229809,0.05049247594028385,0.024042471268993434,-0.07147798417031982,0.004836652626390867,-0.01151403307694743,0.047926038985343145,-0.024378623722390767,-0.023865221437357163,0.05847780344736582,0.07897700935452745,-0.03750841163450556,-0.023096517194630486,0.022785725956900236,0.050442068626167624,-0.06916414432415259,0.02303325763041546,-0.05842214800680936,0.010854700356826757,-0.06844920951409379,0.041280464111864444,1.0,-0.021511036121898502,0.017414699684062777,-0.005334844570882079
Ciclo (R/I),0.008364784602765216,-0.0028504583862297137,0.17600565744302504,0.16912810324855684,-0.017662160589065078,0.23342583014136004,0.20116496679441404,0.016969344097775885,-0.18269749904126445,0.03304291452254093,-0.03226915184323203,0.14769586196550458,-0.01531873193550532,0.047565539256986096,-0.08769474100278123,0.1226781192246344,0.11432376051350081,-0.036082321871323396,0.05129663867928306,0.015345764298887985,0.015101347182327472,-0.04689691373949092,0.04350744837529925,0.0764604698952028,-0.00929683470100884,-0.20041463128204962,-0.021511036121898502,1.0,0.2957676075191796,0.2503788172715557
Num Folículos (I),0.03351093134610787,0.018977851363153192,0.12267315952325697,0.13033751978380897,0.10667712320156329,0.1462831116233046,0.17677977624627106,0.06606499664366736,-0.06787188152451902,0.06097698481635574,-0.10216047123171025,-0.000622422720713579,0.05606221276373291,0.24267659142228692,-0.11335544498646721,0.05815698202408362,0.051481894484090684,-0.06103752871926893,0.023472549989816745,0.02375823223141971,0.14506789743712803,-0.09112469289838458,0.08147912604656848,0.005558412368260858,-0.018380438683471566,-0.08685049443358582,0.017414699684062777,0.2957676075191796,1.0,0.7993590212814681
Num Folículos (D),-0.002023044457827081,-0.007438846870274306,0.09753752839959594,0.0942213982901672,0.07673403786243048,0.10613077824990008,0.12631728938505585,0.008608059077802961,-0.04360719196847853,0.07212473915722348,-0.061905246846197734,-0.011662368438642814,0.0713686089769351,0.15294649166462257,-0.16226037278591288,0.011848539609967292,0.035047393412922664,-0.05936805064576521,0.006436518116713639,0.01940350900962982,0.1853877652552898,-0.0841021377448594,0.08090252797370041,0.013749222060006316,-0.01674112924096073,-0.16069769778368798,-0.005334844570882079,0.2503788172715557,0.7993590212814681,1.0
