,Edad (años),Peso (Kg),Altura (cm),IMC,Grupo Sanguíneo,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),Ciclo (R/I),Duración Ciclo (días),Años Casada,Embarazada (S/N),Número Abortos,beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Aumento Peso (S/N),Crecimiento Vello (S/N),Oscurecimiento Piel (S/N),Pérdida Cabello (S/N),Acné (S/N),Comida Rápida (S/N),Ejercicio Regular (S/N),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Num Folículos (I),Num Folículos (D),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
Ratio Cintura-Cadera,0.06353224125335555,0.018879466290032208,-0.014915470166718833,0.031051087810883178,0.012718183438404767,-0.06922474939964451,-0.07107883149021575,0.05754203759710535,-0.0028504583862296786,-0.12969667159135975,-0.0022318332262832477,-0.054362769825355595,0.005864379176243574,0.011961234199201885,-0.09262145533144513,-0.04008220979301527,-0.0023060460362142763,-0.009502457067269047,-0.2376639501117509,0.2605853435822588,1.0,-0.017234725956382407,0.024021323657226836,0.07576603424928562,-0.1098147215055462,-0.15929663012532105,0.01896257161832749,0.038031983629350445,0.048260259644922206,-0.06000386455431897,0.06630980255217192,0.13683565358680788,0.08566507250957812,-0.07855185619230526,0.08738221463356824,0.042246280898918645,0.018977851363153192,-0.007438846870274306,0.16976143014466955,0.17340549140133668,-0.025087511963472055
TSH (mUI/L),0.05847780344736582,0.05049247594028385,0.039397174788601094,0.04126633528229809,0.07897700935452745,-0.03750841163450556,0.024042471268993434,0.004836652626390867,-0.021511036121898513,0.041280464111864444,0.02303325763041546,-0.023680606898102828,0.05389829685592978,-0.018677671210682947,-0.06844920951409379,-0.01151403307694743,0.047926038985343145,-0.07147798417031982,0.0005514476758043267,-0.00991177575872939,-0.017234725956382407,1.0,0.016804306873943717,0.05044206862616762,-0.024378623722390823,-0.023096517194630437,-0.0281873055565354,0.020399920610337918,-0.02789996441417188,-0.026410857043657414,-0.08349603886397318,0.0114041646902244,-0.032489771051581295,-0.03839505684473626,0.02278572595690024,0.010854700356826718,0.017414699684062777,-0.005334844570882079,-0.023865221437357156,-0.06916414432415263,-0.058422148006809324
AMH (ng/mL),-0.19025939729087166,0.03722568890404709,-0.05853058747496043,0.06793151860395943,0.07069473171784196,-0.04311451044264618,-0.0034864271537444823,0.026179987316388143,0.20752873706932085,-0.08488792869104794,-0.1311146408494218,-0.03364495685371235,-0.060649924190533375,0.07613500282122386,0.008090433062952576,-0.007366338440884691,0.16655722261350178,-0.1902448048391865,-0.05252067244100808,-0.04631226307751003,0.024021323657226836,0.016804306873943717,1.0,-0.022071296710306314,-0.03237877994120291,0.0031639947126954684,-0.002128473945338535,0.13113177362218362,0.16605451969004173,0.17482852066576338,0.13410992858394216,0.11960762369889139,0.1889002789995058,0.10430026723078036,-0.00899115559608912,0.03558636382887226,0.2464350940747272,0.2244394227353496,0.07579895907000106,0.08877795286183364,0.13633959741237583
Prolactina (ng/mL),-0.08448706470622554,-0.05698375049679527,0.0009970636940416207,-0.06407684196280918,0.02589713334151068,-0.011946472226771948,0.0022042972050995025,-0.06119636235162999,0.015345764298888013,0.012274808453589452,-0.06087087346496086,0.011388212363396459,-0.0915930463713475,0.01662471258292123,-0.0485722664992337,-0.013845032313999832,0.008512357243680041,-0.010151107762416373,-0.06436174532738584,-0.028027298619933937,0.07576603424928562,0.05044206862616762,-0.022071296710306314,1.0,-0.017595779999520854,-0.0012413807061054923,-0.05869558370484727,-0.02156330826147566,-0.013713497738754802,0.046264805936777564,-0.06449446116901332,-0.002948936032361663,0.025879069524691843,0.038830267496888955,-0.011447137755071366,-0.012161043137101512,0.02375823223141971,0.01940350900962982,0.14664724094742115,0.10543612380343395,0.04450092511007572
Vitamina D3 (ng/mL),-0.006790706368984652,-0.08335445463876635,-0.03318269378940729,-0.07375598182069712,0.038476651953816415,0.03803616026177844,0.05282902831018735,0.06958867992870026,-0.015318731935505288,0.04086022283550108,0.04190218244542332,0.10443363485901669,-0.036366870527892316,0.04670425776408707,0.04845955551084311,0.02755989209953818,-0.034710177852789896,0.07290258685295747,0.026936748476078725,-0.028777823983677574,-0.1098147215055462,-0.024378623722390823,-0.03237877994120291,-0.017595779999520854,1.0,0.016990242745130578,-0.06536927071180167,-0.12383436195451412,-0.011788922704238177,-0.04430633838315019,0.01690970329081388,-0.005157945925918862,-0.04856514932660708,-0.05952597025721838,-0.042504754110627464,-0.04757827223518819,0.05606221276373291,0.0713686089769351,-0.009467960004109805,-0.12157309896139946,0.02811348515853997
Progesterona (ng/mL),-0.031148806097577177,0.053883475380555365,-0.02346693339180468,0.07114917033496997,0.05006709950403464,-0.02640124323671788,-0.023749397981094093,-0.027322805995012737,-0.03608232187132346,0.058887511542115294,0.008324616096075033,0.03192279734466818,0.016245703251405934,0.04602698464418331,0.04011205302141784,0.01042248484139843,0.06781303861796192,-0.07118687733197879,0.09462771351667101,0.013144118342641701,-0.15929663012532105,-0.023096517194630437,0.0031639947126954684,-0.0012413807061054923,0.016990242745130578,1.0,0.10219939844607834,0.014986035111873105,0.030219516454277576,0.046152566681448244,-0.025452519425382,-0.0979031993072676,-0.09035406426654907,0.028242477293374636,-0.05631625649105288,-0.007643986878335185,-0.06103752871926893,-0.05936805064576521,0.014780994923967007,-0.03914426890042595,-0.04946892116815841
Glucosa (mg/dl),0.10549405636369884,0.0983343715603469,0.034512809779898575,0.0862856087796188,0.021087016629058937,0.06494950876409987,0.07938379996720342,-0.023072050441724525,0.00836478460276526,0.006459892699804374,0.09479274613671354,0.01599448323955242,-0.010673117155044395,-0.10561271604522757,-0.07139729522553077,0.011750158591670425,0.07154023591499975,-0.08377067270596099,0.00676369590169696,0.018845480084422533,0.01896257161832749,-0.0281873055565354,-0.002128473945338535,-0.05869558370484727,-0.06536927071180167,0.10219939844607834,1.0,0.07438204759423758,0.061408668653043036,0.04338803973688787,0.07105281233214868,-0.023467826135164033,0.03969347990625737,-0.005341303024054371,0.08720726105894816,-0.040395192624350186,0.03351093134610787,-0.002023044457827081,-0.057631151543871426,0.009699418862124465,-0.051732998975692376
Aumento Peso (S/N),-0.030863937454103117,0.4206088912467494,0.01824503805132528,0.45704276423166446,0.0071548286498597895,0.02451394620528587,0.044624599073671896,0.10529038481392451,0.2508629442462007,-0.13458211347865415,-0.016254178588244222,-0.021554103817470426,0.14075499123013904,-0.0503075565354441,0.03666872708661316,-0.08266979690526398,0.03154169158664056,-0.10348986832968739,0.3157681731851986,0.3309850514058277,0.038031983629350445,0.020399920610337918,0.13113177362218362,-0.02156330826147566,-0.12383436195451412,0.014986035111873105,0.07438204759423758,1.0,0.2992404048640835,0.3488140355438812,0.24993981030964352,0.2550169307571373,0.37534727078521524,-0.039351799958541316,0.031729147185975456,0.11597591741776464,0.25311006598790586,0.2541801181672594,0.0709408400258268,-0.040011585176650384,0.03847721711262889
Crecimiento Vello (S/N),-0.07513634253330873,0.1886064559185037,0.04876382195035887,0.18229017967255376,0.08511462146706042,0.05766279420972145,-0.013614309872075793,0.14263121381688834,0.2750453253227219,-0.05271404514836163,-0.025965108910406636,-0.07194352694357811,0.042223322234186685,-0.02977937730979467,-0.009208178427854099,-0.06756410305646077,-0.010427732081756708,-0.04420673987475594,0.15582857468096228,0.1760709234013147,0.048260259644922206,-0.02789996441417188,0.16605451969004173,-0.013713497738754802,-0.011788922704238177,0.030219516454277576,0.061408668653043036,0.2992404048640835,1.0,0.37248350966596494,0.20799561939715758,0.15529830452237817,0.298148743469216,0.01363003901519512,-0.016817661156935837,0.06308945504602687,0.3082564333761124,0.2720750817443565,0.06410635409918142,0.0010854342832744472,0.05611558518995053
Oscurecimiento Piel (S/N),-0.10533833625795888,0.1805450625846434,0.07464365038687765,0.1592181643142022,0.022074959354948184,0.0544825852809269,-0.0009958378727542658,0.02111922492514789,0.22071975451255912,-0.03991016317995824,-0.046900523562761684,0.014477823984798962,0.006210733844390847,0.07462260867639617,0.06249571718756313,-0.11331815563641907,0.01002013933178407,-0.09852008530074405,0.10119800039564862,0.07286431741654215,-0.06000386455431897,-0.026410857043657414,0.17482852066576338,0.046264805936777564,-0.04430633838315019,0.046152566681448244,0.04338803973688787,0.3488140355438812,0.37248350966596494,1.0,0.12701884261214874,0.16785941318910957,0.3344069312898961,0.11159306072332285,0.013549326252868622,-0.007591504659341503,0.3175103262743691,0.32035583201633644,0.0696298196713227,0.019223121838586994,0.10241484956663637
Pérdida Cabello (S/N),-0.08370235228026833,0.07667773948116365,-0.016792416551608475,0.08828947523042381,-0.04432074028094644,0.05330547168814925,-0.040226987962117905,0.08703623625646587,0.10166980120266335,-0.0050814829302708335,0.029518410294685417,0.023264127796904344,-0.000818017312222459,-0.005989132413581736,0.061696040857850576,-0.05775281214665084,-0.0626089881986565,0.02237699609584158,-0.002142808364553315,0.03373645647372117,0.06630980255217192,-0.08349603886397318,0.13410992858394216,-0.06449446116901332,0.01690970329081388,-0.025452519425382,0.07105281233214868,0.24993981030964352,0.20799561939715758,0.12701884261214874,1.0,0.24439851365599755,0.27171757070228403,-0.002766983290167284,0.06015865284579411,0.009587141742846845,0.09704787221728815,0.05833435961724637,0.019621744183168068,-0.047401119144310964,0.15978648260021697
Acné (S/N),-0.03422120904441299,0.06878684173346564,0.06217552311328734,0.05036144558042125,0.03606800423731653,-0.0068605449001886065,0.028985000608115402,0.05986357412172621,0.12308481369268448,-0.05193513069925574,0.03613779498314011,0.10555650703537686,-0.06814761014756941,0.09654482493554856,0.13400653942543644,-0.05702331126702617,-0.006152054765670537,-0.03526543231604552,-0.03658546739710069,0.034632938299307935,0.13683565358680788,0.0114041646902244,0.11960762369889139,-0.002948936032361663,-0.005157945925918862,-0.0979031993072676,-0.023467826135164033,0.2550169307571373,0.15529830452237817,0.16785941318910957,0.24439851365599755,1.0,0.29454716985226514,0.08605133237785802,0.05251367068972463,0.04265635853511945,0.1786864411291245,0.20097217904483353,0.08210542632812541,-0.03092838614662499,0.03687261283203643
Comida Rápida (S/N),-0.037125794457530205,0.16560543328284089,0.028803231312805377,0.16477780821330107,-0.03933744781528366,0.07953467226635302,0.1326069418229156,0.07599068857140458,0.20186754624209044,-0.0796782810027413,0.001468033074033758,0.05706592624691617,-0.05284098101306791,0.01859465395955902,0.09648349059961173,-0.06836584484100651,0.040752940814203456,-0.10011128342888159,0.09281325108488428,0.1401647692474642,0.08566507250957812,-0.032489771051581295,0.1889002789995058,0.025879069524691843,-0.04856514932660708,-0.09035406426654907,0.03969347990625737,0.37534727078521524,0.298148743469216,0.3344069312898961,0.27171757070228403,0.29454716985226514,1.0,0.06485145646151869,0.041150100105129234,0.11070540440346573,0.2262264136482711,0.24863209680201523,0.055526891659251246,0.04279875464258857,0.1352406973726203
Ejercicio Regular (S/N),-0.02791644971711816,-0.06580462158082533,0.017381109469432058,-0.07989821503548226,0.06491598325844661,-0.030045276428786495,-0.045243051476702635,0.016967823854630457,-0.00432089130336854,0.026410155457739167,0.03328683327149479,-0.07699659050592493,-0.03661718962093002,-0.0038477926212410747,0.014192033184290005,0.022443008479421767,0.04514144651693754,-0.03597634302995845,-0.02985982000835568,-0.06816115601353953,-0.07855185619230526,-0.03839505684473626,0.10430026723078036,0.038830267496888955,-0.05952597025721838,0.028242477293374636,-0.005341303024054371,-0.039351799958541316,0.01363003901519512,0.11159306072332285,-0.002766983290167284,0.08605133237785802,0.06485145646151869,1.0,0.020026648382553087,-0.03376187827796774,0.012686862557537301,0.04365995057175542,0.03462961311992335,0.039998727539765286,0.08305915670900361
Presión Sistólica (mmHg),0.12239774213629749,0.047401680891892964,-0.03535469991793024,0.07764874274764748,0.028557891306120572,-0.040743675366317934,0.043021330363436326,0.09380085489144414,0.05129663867928307,-0.012486504077733393,0.09728562459560268,-0.04432979676262891,-0.0038499415121861736,-0.031023933248951304,-0.0059334613420030016,-0.0054168251354187935,-0.025459955776434496,0.031614951074437576,-0.0052508720728670156,0.04205253135283003,0.08738221463356824,0.02278572595690024,-0.00899115559608912,-0.011447137755071366,-0.042504754110627464,-0.05631625649105288,0.08720726105894816,0.031729147185975456,-0.016817661156935837,0.013549326252868622,0.06015865284579411,0.05251367068972463,0.041150100105129234,0.020026648382553087,1.0,0.19738812652466622,0.023472549989816745,0.006436518116713639,0.054410748196773016,0.026408885322209773,-0.0596819566661934
Presión Diastólica (mmHg),0.0797703491251793,0.135642661000519,0.020899730861269894,0.14017335073376622,0.0762861865760144,-0.06244778443891855,0.07336591379450233,0.005980498647356362,0.07646046989520286,-0.07118616744461731,0.01579973482194553,0.004470821778334692,0.06752163447271882,0.02376494632203348,0.07714857647768028,-0.03274486838350914,0.0001391902833515687,-0.014490054781154917,0.11548012581762096,0.13558768865315185,0.042246280898918645,0.010854700356826718,0.03558636382887226,-0.012161043137101512,-0.04757827223518819,-0.007643986878335185,-0.040395192624350186,0.11597591741776464,0.06308945504602687,-0.007591504659341503,0.009587141742846845,0.04265635853511945,0.11070540440346573,-0.03376187827796774,0.19738812652466622,1.0,0.005558412368260858,0.013749222060006316,0.03740779609257297,0.015255070552217672,-0.03593323515729121
Num Folículos (I),-0.11335544498646721,0.17677977624627106,0.10667712320156329,0.1462831116233046,0.05815698202408362,0.051481894484090684,0.06606499664366736,0.06097698481635574,0.2957676075191796,-0.08685049443358582,-0.09112469289838458,0.04470347709358036,-0.049021885725924814,0.17903196952615016,-0.018380438683471566,-0.10216047123171025,-0.000622422720713579,-0.06787188152451902,0.12267315952325697,0.13033751978380897,0.018977851363153192,0.017414699684062777,0.2464350940747272,0.02375823223141971,0.05606221276373291,-0.06103752871926893,0.03351093134610787,0.25311006598790586,0.3082564333761124,0.3175103262743691,0.09704787221728815,0.1786864411291245,0.2262264136482711,0.012686862557537301,0.023472549989816745,0.005558412368260858,1.0,0.7993590212814681,0.24267659142228687,0.14506789743712806,0.08147912604656851
Num Folículos (D),-0.16226037278591288,0.12631728938505585,0.07673403786243048,0.10613077824990008,0.011848539609967292,0.035047393412922664,0.008608059077802961,0.07212473915722348,0.2503788172715557,-0.16069769778368798,-0.0841021377448594,0.03092996777589713,-0.0689977387115466,0.14095563659885416,-0.01674112924096073,-0.061905246846197734,-0.011662368438642814,-0.04360719196847853,0.09753752839959594,0.0942213982901672,-0.007438846870274306,-0.005334844570882079,0.2244394227353496,0.01940350900962982,0.0713686089769351,-0.05936805064576521,-0.002023044457827081,0.2541801181672594,0.2720750817443565,0.32035583201633644,0.05833435961724637,0.20097217904483353,0.24863209680201523,0.04365995057175542,0.006436518116713639,0.013749222060006316,0.7993590212814681,1.0,0.15294649166462246,0.18538776525528974,0.08090252797370041
Tamaño Folículo Prom (I) (mm),-0.04649494710913975,0.013704848072359662,-0.008204335813295337,0.020648109968370243,-0.037083598425860516,-0.0447558985686672,-0.00911978870538236,0.031366171833982694,0.04756553925698606,-0.05564164342396028,-0.05218309446927404,-0.06820455800894432,-0.04628912844027174,0.04229718026474965,-0.018536926665226758,-0.052977257789829764,-0.009032065498903476,-0.015898908291692725,-0.04919332695053017,0.03266099017617588,0.16976143014466955,-0.023865221437357156,0.07579895907000106,0.14664724094742115,-0.009467960004109805,0.014780994923967007,-0.057631151543871426,0.0709408400258268,0.06410635409918142,0.0696298196713227,0.019621744183168068,0.08210542632812541,0.055526891659251246,0.03462961311992335,0.054410748196773016,0.03740779609257297,0.24267659142228687,0.15294649166462246,1.0,0.3431142261212832,0.010934689399127201
Tamaño Folículo Prom (D) (mm),-0.08340490666959202,-0.06781239388192017,0.06102916567633251,-0.10624657920491605,-0.021739896393799505,-0.036822265087895746,-0.020327152590569147,0.02772457174407018,0.015101347182327474,-0.014534362941318824,-0.10873528924518223,-0.12166550719311425,-0.12324773672464338,0.06653426192246693,-0.12321355544891152,-0.02007102464312145,-0.038926569231924696,0.03825675804045402,-0.10052910327612598,-0.01479718644227852,0.17340549140133668,-0.06916414432415263,0.08877795286183364,0.10543612380343395,-0.12157309896139946,-0.03914426890042595,0.009699418862124465,-0.040011585176650384,0.0010854342832744472,0.019223121838586994,-0.047401119144310964,-0.03092838614662499,0.04279875464258857,0.039998727539765286,0.026408885322209773,0.015255070552217672,0.14506789743712806,0.18538776525528974,0.3431142261212832,1.0,-0.042866095671969785
Endometrio (mm),-0.1042271089360734,-0.012571603142211066,-0.05225324301474237,0.0058715149382297495,-0.011830693082075204,-0.059874912065528293,-0.06326212024449847,-0.06810098053373326,0.0435074483752992,-0.015176118632667672,-0.1264950694365243,-0.009023059767196967,-0.07167486234235035,-0.01224206093578365,0.07322626584371147,0.062096691982630174,0.046526453756820074,-0.02941684550561656,0.02857180931999082,0.01424773215896027,-0.025087511963472055,-0.058422148006809324,0.13633959741237583,0.04450092511007572,0.02811348515853997,-0.04946892116815841,-0.051732998975692376,0.03847721711262889,0.05611558518995053,0.10241484956663637,0.15978648260021697,0.03687261283203643,0.1352406973726203,0.08305915670900361,-0.0596819566661934,-0.03593323515729121,0.08147912604656851,0.08090252797370041,0.010934689399127201,-0.042866095671969785,1.0
